Hindi,English
नमस्ते,Greetings!
हां,Yes
नहीं,No
आप,You
हम,We
मैं,I
वह,He
तुम,You
यह,This
कृपया,Please
धन्यवाद,Thank you
कहाँ,Where?
कौन,Who
क्या,What
कैसे,How
कब,When
कहाँ,Where?
आज,Today
कल,Tomorrow
अभी,Now
जल्दी,Quick
बहुत,Very
थोड़ा,Little
सब,All
कुछ,Some
बहुत,Very
भी,Too
नहीं,No
हां,Yes
या,Or
इस,This
उस,That
हमारा,Our
तुम्हारा,Your
उनका,their
इसका,Its
उसका,His
यहाँ,Here
वहाँ,There
कहाँ,Where?
कब,When
कैसे,How
क्यों,Why
कौन,Who
क्या,What
कितना,How much
कितने,How many?
और,And
या,Or
पर,But
नीचे,Below
ऊपर,Above
बीच,Middle
दायाँ,Right
बायां,Left
दो,Two
तीन,Three
चार,Four
पाँच,five
छह,Six
सात,Seven
आठ,Eight
नौ,nine
दस,Ten
बड़ा,Big
छोटा,Small
लंबा,tall
मोटा,Fat
पतला,Thin
भारी,Heavy
हल्का,Light
ठीक,Correct
गरम,Hot
ठंडा,Cold
मीठा,Sweet
ख़ारा,Lucker
तीख़ा,Pungent
कड़वा,Bitter
स्वादिष्ट,Delicious
खुश,Happy 
दुखी,Sad
आशा,Hope
निराशा,Disappointment
खुला,open
बंद,Close
सही,Correct
गलत,Wrong
अच्छा,Good
बुरा,bad
सच,Truth
झूठ,Lie
आसान,Easy
मुश्किल,DIfficulty
खुशी,Happiness
दुख,Sadness
समझ,Understanding
भूल,Mistake
दर्द,Pain
सवाल,Question
जवाब,answer
