German,English
Hallo,Hello
Ja,Yes
Nein,No
Sie,She
Ich,I
Wir,We
Du,You
Es,It
Bitte,Please
Danke,Thanks
Danke schön,Thank you very much
Wo,Where
Wer,Who
Was,What
Wie,How
Wann,When
Heute,Today
Morgen,Morning
Jetzt,Now
Später,Later
Alles,Everything
Etwas,Something
Nichts,Nothing
Auch,Also
Nein,No
Ja,Yes
Oder,Or
Hier,Here
Dort,There
Da,There
Wohin,To where
Woher,From where
Welcher,Which
Welche,Which
Welches,Which
Hier,Here
Dort,There
Rechts,To the right
Links,Left
Mitte,center
Unten,Below
Oben,Above
Zwischen,Between
Davor,Before
Danach,Thereafter
Und,And
Aber,But
Sondern,Rather
Weil,Because
Wenn,If
Bis,Until
Seit,Since
Schon,Already
Noch,Still
Vielleicht,Perhaps
Heute,Today
Gestern,Yesterday
Morgen,Morning
Schnell,Fast
Langsam,Slow
Sehr,Very
Wenig,Few
Viel,Much
Stark,Strong
Schwach,Weak
Ganz,Quite
Nicht,Not
Gar,Even
Auch,Also
Nur,Only
So,So
Jetzt,Now
Bald,Soon
Immer,Always
Nie,Never
Doch,But
Deshalb,For this reason
Darum,Therefore
Deswegen,Because of this
Leider,Unfortunately
Natürlich,Naturally
Vielleicht,Perhaps
Genau,Exactly
Wirklich,Really
Einfach,Simply
Komplex,Complex
Sicher,secure
Unsicher,Unsure
Richtig,Correct
Falsch,Incorrect
Schön,Nice
Hässlich,Ugly
Jung,Young
Alt,Old
Gut,Good
Schlecht,Bad
Gesund,Healthy
Krank,Sick
Warm,Warm
Kalt,Cold
